city,cutoff,n_rated,pct_pass,global_pct_pass,pct_pass_minus_global
berlin,4.7,10960,72.51824817518249,69.31693388974303,3.201314285439466
chicago,4.7,6976,77.68061926605505,69.31693388974303,8.36368537631202
hongkong,4.7,3585,52.52440725244073,69.31693388974303,-16.792526637302295
tokyo,4.7,24009,67.93285851139156,69.31693388974303,-1.3840753783514685
berlin,4.8,10960,60.52919708029197,56.01581374917637,4.513383331115605
chicago,4.8,6976,64.96559633027523,56.01581374917637,8.949782581098866
hongkong,4.8,3585,42.95676429567643,56.01581374917637,-13.059049453499938
tokyo,4.8,24009,53.305010621017125,56.01581374917637,-2.7108031281592417
berlin,4.9,10960,43.29379562043796,37.97276520975181,5.321030410686149
chicago,4.9,6976,44.15137614678899,37.97276520975181,6.178610937037178
hongkong,4.9,3585,31.687587168758718,37.97276520975181,-6.285178040993095
tokyo,4.9,24009,34.6869923778583,37.97276520975181,-3.28577283189351
berlin,5.0,10960,27.536496350364963,23.448275862068964,4.088220488295999
chicago,5.0,6976,21.731651376146786,23.448275862068964,-1.7166244859221784
hongkong,5.0,3585,25.746164574616458,23.448275862068964,2.2978887125474934
tokyo,5.0,24009,21.73768170269482,23.448275862068964,-1.7105941593741427
